time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-13T08:59:57.105Z,27.6205,53.1796,16.644,4.5,mb,105,46,3.804,0.65,us,us7000jjhu,2023-05-20T23:20:19.040Z,"30 km ENE of Mohr, Iran",earthquake,6.99,3.054,0.064,71,reviewed,us,us
2023-03-12T06:35:32.501Z,34.2696,45.6421,10,4,mb,31,126,1.325,0.61,us,us7000jksa,2023-05-20T23:20:32.040Z,"29 km SW of Sarpol-e Z̄ahāb, Iran",earthquake,9.73,1.95,0.126,18,reviewed,us,us
2023-02-28T15:58:42.181Z,27.8012,55.3104,10,4.5,mb,103,48,2.955,0.73,us,us7000jg9f,2023-05-08T01:59:57.040Z,"80 km SW of ??jj??b?d, Iran",earthquake,8.64,1.839,0.057,91,reviewed,us,us
2023-02-22T01:11:07.244Z,27.7531,55.2852,10,5,mww,256,29,2.915,0.58,us,us6000jqp6,2023-04-29T21:57:23.040Z,"86 km SW of ??jj??b?d, Iran",earthquake,7.04,1.724,0.098,10,reviewed,us,us
2023-02-21T06:05:34.776Z,27.7828,55.3567,10,5.1,mww,107,25,2.926,0.47,us,us6000jqhr,2023-04-29T21:57:20.040Z,"79 km SW of ??jj??b?d, Iran",earthquake,7.56,1.838,0.098,10,reviewed,us,us
2023-02-13T01:43:38.159Z,28.6125,52.0362,10,4.3,mb,45,82,5.217,0.43,us,us6000jqjr,2023-04-22T21:33:22.040Z,"58 km WSW of F?r?z?b?d, Iran",earthquake,7.7,1.888,0.1,28,reviewed,us,us
2023-02-12T18:21:45.786Z,27.9015,53.8188,16.728,4.2,mb,47,64,3.639,0.66,us,us6000jngz,2023-04-22T21:33:03.040Z,"40 km NW of Ger?sh, Iran",earthquake,10.4,4.589,0.101,27,reviewed,us,us
2023-02-11T03:12:48.275Z,28.2808,56.8276,50.653,4.2,mb,29,76,3.369,0.65,us,us6000jpnu,2023-04-15T21:40:12.040Z,"110 km S of K?h Sef?d, Iran",earthquake,9.61,6.33,0.146,14,reviewed,us,us
2023-02-08T23:25:18.429Z,28.3652,56.7895,10,4.2,mb,39,85,3.446,0.51,us,us6000jpd4,2023-04-15T21:40:09.040Z,"100 km S of K?h Sef?d, Iran",earthquake,10.88,1.897,0.096,30,reviewed,us,us
2023-02-08T04:01:16.063Z,32.2337,49.651,10,4.4,mb,42,63,4.88,0.5,us,us6000jmfb,2023-04-15T21:39:46.040Z,"46 km NE of Masjed Soleym?n, Iran",earthquake,7.38,1.878,0.134,16,reviewed,us,us
2023-02-07T02:30:56.621Z,26.8303,55.2235,10,4.2,mb,27,97,2.075,0.83,us,us6000jm52,2023-04-15T21:39:41.040Z,"45 km NE of Bandar-e Lengeh, Iran",earthquake,5.42,1.928,0.137,15,reviewed,us,us
2023-02-04T02:45:45.950Z,34.3241,45.7059,10,4.7,mb,68,67,3.429,0.71,us,us6000jlbp,2023-04-13T21:53:22.040Z,"20 km SW of Sarpol-e Z?ah?b, Iran",earthquake,8.42,1.853,0.055,99,reviewed,us,us
2023-02-01T05:41:10.999Z,37.4221,59.9086,10,4,mb,30,88,8.921,0.98,us,us6000jknr,2023-04-13T21:53:15.040Z,"27 km ENE of Kaka, Turkmenistan",earthquake,8.04,1.94,0.197,7,reviewed,us,us
2023-01-31T04:13:04.953Z,38.5428,44.8784,10,4,mb,26,82,1.448,0.71,us,us6000jkgv,2023-04-13T21:53:12.040Z,"6 km W of Khowy, Iran",earthquake,5.65,1.89,0.156,11,reviewed,us,us
2023-01-29T22:00:19.418Z,38.5153,44.8139,10,4.2,mb,59,126,1.394,0.64,us,us6000jk7j,2023-04-13T21:53:09.040Z,"Turkey-Iran border region",earthquake,6.37,1.871,0.105,25,reviewed,us,us
2023-01-29T16:38:47.878Z,38.5594,44.717,10,4.2,mb,28,168,1.326,1.03,us,us6000jk6h,2023-04-13T21:53:08.040Z,"20 km W of Khowy, Iran",earthquake,4.48,1.937,0.107,24,reviewed,us,us
2023-01-29T15:13:25.532Z,38.4819,44.7507,10,4.5,mb,40,125,1.34,0.88,us,us6000jk61,2023-04-13T21:53:08.040Z,"19 km WSW of Khowy, Iran",earthquake,4.05,1.904,0.071,59,reviewed,us,us
2023-01-29T14:41:14.127Z,38.4906,44.8693,10,4.7,mb,41,101,1.434,0.64,us,us6000jk5x,2023-04-13T21:53:08.040Z,"9 km SW of Khowy, Iran",earthquake,3.68,1.885,0.068,65,reviewed,us,us
2023-01-29T03:48:09.650Z,38.6392,44.8223,10,4.1,mb,33,124,1.422,0.98,us,us6000jk3l,2023-04-13T21:53:07.040Z,"15 km NW of Khowy, Iran",earthquake,3.64,1.888,0.144,13,reviewed,us,us
2023-01-28T20:09:59.211Z,38.6005,44.8287,10,4.5,mb,46,128,1.419,0.73,us,us6000jk1j,2023-04-11T18:51:39.040Z,"12 km WNW of Khowy, Iran",earthquake,6.48,1.851,0.086,39,reviewed,us,us
2023-01-28T18:16:56.220Z,38.4811,44.9282,10,5.1,mb,100,65,1.479,0.69,us,us6000jmwl,2023-04-11T18:51:51.040Z,"7 km SSW of Khowy, Iran",earthquake,5.27,1.826,0.067,73,reviewed,us,us
2023-01-28T18:14:45.855Z,38.4199,44.9097,16,5.9,mww,239,31,1.459,0.76,us,us6000jk0t,2023-04-11T18:51:39.040Z,"14 km SSW of Khowy, Iran",earthquake,5.24,1.769,0.045,48,reviewed,us,us
2023-01-28T14:08:17.231Z,30.6967,50.3487,10,4.2,mb,15,115,7.725,1.09,us,us6000jmw9,2023-04-11T18:51:50.040Z,"Southern Iran",earthquake,11.36,1.624,0.176,9,reviewed,us,us
2023-01-28T13:53:09.785Z,33.5843,45.8112,10,4.6,mb,48,73,4.061,0.86,us,us6000jjzp,2023-04-11T18:51:38.040Z,"29 km SE of Mandal?, Iraq",earthquake,9.7,1.857,0.066,68,reviewed,us,us
2023-01-27T09:36:37.225Z,30.5806,50.4151,10,4.4,mb,81,68,7.602,0.46,us,us6000jjmx,2023-04-11T18:51:36.040Z,"16 km E of Behbah?n, Iran",earthquake,5.99,1.707,0.078,47,reviewed,us,us
2023-01-27T06:19:30.534Z,29.3378,51.2763,10,4,mb,18,91,6.197,0.52,us,us6000jm0s,2023-04-11T18:51:47.040Z,"9 km NE of Bor?zj?n, Iran",earthquake,5.39,1.904,0.232,5,reviewed,us,us
2023-01-19T05:55:22.616Z,38.5878,44.7612,10,4.3,mb,33,104,1.077,0.45,us,us7000j5f2,2023-03-31T19:45:21.040Z,"17 km WNW of Khowy, Iran",earthquake,5.51,1.915,0.113,22,reviewed,us,us
2023-01-18T14:55:50.392Z,38.3997,44.9477,10,4.4,mb,74,101,1.225,0.32,us,us7000j59a,2023-03-31T19:45:09.040Z,"16 km S of Khowy, Iran",earthquake,5.99,1.748,0.078,50,reviewed,us,us
2023-01-18T10:42:39.023Z,38.472,44.9169,16.66,4.3,mb,25,131,1.158,0.9,us,us7000j574,2024-01-18T19:12:59.077Z,"9 km SSW of Khowy, Iran",earthquake,5.37,2.233,0.13,17,reviewed,us,us
2023-01-18T10:08:14.166Z,38.4334,44.9458,19.102,5.7,mww,195,59,1.192,0.64,us,us7000j56z,2023-03-31T19:45:07.040Z,"12 km S of Khowy, Iran",earthquake,5.45,3.772,0.069,20,reviewed,us,us
2023-01-17T17:43:05.673Z,36.4204,52.9186,10,4.5,mb,72,75,4.426,0.5,us,us7000j4y6,2023-03-31T19:44:54.040Z,"20 km SW of Sari, Iran",earthquake,9.7,1.89,0.076,55,reviewed,us,us
2023-01-12T08:44:29.909Z,26.8041,55.2808,10,4.2,mb,22,114,2.029,0.31,us,us7000j5tr,2023-03-20T06:04:00.040Z,"48 km NE of Bandar-e Lengeh, Iran",earthquake,5.76,1.915,0.136,15,reviewed,us,us
2023-01-12T01:22:45.534Z,26.8052,53.7556,10,4.2,mb,16,118,2.88,0.63,us,us7000j5te,2023-03-20T06:03:59.040Z,"37 km NW of K?sh, Iran",earthquake,10.56,1.926,0.199,7,reviewed,us,us
2023-01-10T16:17:05.437Z,27.6733,56.1838,10,4.3,mb,65,63,2.717,0.67,us,us7000j3et,2023-03-20T06:03:14.040Z,"54 km N of Bandar Abbas, Iran",earthquake,3.99,1.833,0.083,41,reviewed,us,us
2023-01-04T16:19:58.245Z,26.8335,55.1568,16.611,4.1,mb,46,107,2.104,0.56,us,us7000j23c,2023-03-11T22:51:39.040Z,"southern Iran",earthquake,7.06,3.865,0.086,37,reviewed,us,us
